"Mês","","Variável",""
"setembro 1992","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","2.0196408623306"
"setembro 1992","Brasil","IPCA - Variação mensal (%)","24.63"
"outubro 1992","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","2.5293973801068"
"outubro 1992","Brasil","IPCA - Variação mensal (%)","25.24"
"novembro 1992","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","3.0982598885128"
"novembro 1992","Brasil","IPCA - Variação mensal (%)","22.49"
"dezembro 1992","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","3.8802596550900"
"dezembro 1992","Brasil","IPCA - Variação mensal (%)","25.24"
"janeiro 1993","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","5.0579166458253"
"janeiro 1993","Brasil","IPCA - Variação mensal (%)","30.35"
"fevereiro 1993","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","6.3213843084293"
"fevereiro 1993","Brasil","IPCA - Variação mensal (%)","24.98"
"março 1993","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","8.0445948724789"
"março 1993","Brasil","IPCA - Variação mensal (%)","27.26"
"abril 1993","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","10.2769672819025"
"abril 1993","Brasil","IPCA - Variação mensal (%)","27.75"
"maio 1993","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","13.1226581300609"
"maio 1993","Brasil","IPCA - Variação mensal (%)","27.69"
"junho 1993","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","17.0686429798089"
"junho 1993","Brasil","IPCA - Variação mensal (%)","30.07"
"julho 1993","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","22.3121307612362"
"julho 1993","Brasil","IPCA - Variação mensal (%)","30.72"
"agosto 1993","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","29.6662109364145"
"agosto 1993","Brasil","IPCA - Variação mensal (%)","32.96"
"setembro 1993","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","40.2540807309468"
"setembro 1993","Brasil","IPCA - Variação mensal (%)","35.69"
"outubro 1993","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","53.9082648348533"
"outubro 1993","Brasil","IPCA - Variação mensal (%)","33.92"
"novembro 1993","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","73.0780465845240"
"novembro 1993","Brasil","IPCA - Variação mensal (%)","35.56"
"dezembro 1993","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","100.0000000000000"
"dezembro 1993","Brasil","IPCA - Variação mensal (%)","36.84"
"janeiro 1994","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","141.3100000000000"
"janeiro 1994","Brasil","IPCA - Variação mensal (%)","41.31"
"fevereiro 1994","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","198.2200000000000"
"fevereiro 1994","Brasil","IPCA - Variação mensal (%)","40.27"
"março 1994","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","282.9600000000000"
"março 1994","Brasil","IPCA - Variação mensal (%)","42.75"
"abril 1994","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","403.7300000000000"
"abril 1994","Brasil","IPCA - Variação mensal (%)","42.68"
"maio 1994","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","581.4900000000000"
"maio 1994","Brasil","IPCA - Variação mensal (%)","44.03"
"junho 1994","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","857.2900000000000"
"junho 1994","Brasil","IPCA - Variação mensal (%)","47.43"
"julho 1994","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","915.9300000000000"
"julho 1994","Brasil","IPCA - Variação mensal (%)","6.84"
"agosto 1994","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","932.9700000000000"
"agosto 1994","Brasil","IPCA - Variação mensal (%)","1.86"
"setembro 1994","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","947.2400000000000"
"setembro 1994","Brasil","IPCA - Variação mensal (%)","1.53"
"outubro 1994","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","972.0600000000000"
"outubro 1994","Brasil","IPCA - Variação mensal (%)","2.62"
"novembro 1994","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","999.3700000000000"
"novembro 1994","Brasil","IPCA - Variação mensal (%)","2.81"
"dezembro 1994","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1016.4600000000000"
"dezembro 1994","Brasil","IPCA - Variação mensal (%)","1.71"
"janeiro 1995","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1033.7400000000000"
"janeiro 1995","Brasil","IPCA - Variação mensal (%)","1.70"
"fevereiro 1995","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1044.2800000000000"
"fevereiro 1995","Brasil","IPCA - Variação mensal (%)","1.02"
"março 1995","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1060.4700000000000"
"março 1995","Brasil","IPCA - Variação mensal (%)","1.55"
"abril 1995","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1086.2400000000000"
"abril 1995","Brasil","IPCA - Variação mensal (%)","2.43"
"maio 1995","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1115.2400000000000"
"maio 1995","Brasil","IPCA - Variação mensal (%)","2.67"
"junho 1995","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1140.4400000000000"
"junho 1995","Brasil","IPCA - Variação mensal (%)","2.26"
"julho 1995","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1167.3500000000000"
"julho 1995","Brasil","IPCA - Variação mensal (%)","2.36"
"agosto 1995","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1178.9100000000000"
"agosto 1995","Brasil","IPCA - Variação mensal (%)","0.99"
"setembro 1995","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1190.5800000000000"
"setembro 1995","Brasil","IPCA - Variação mensal (%)","0.99"
"outubro 1995","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1207.3700000000000"
"outubro 1995","Brasil","IPCA - Variação mensal (%)","1.41"
"novembro 1995","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1225.1200000000000"
"novembro 1995","Brasil","IPCA - Variação mensal (%)","1.47"
"dezembro 1995","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1244.2300000000000"
"dezembro 1995","Brasil","IPCA - Variação mensal (%)","1.56"
"janeiro 1996","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1260.9000000000000"
"janeiro 1996","Brasil","IPCA - Variação mensal (%)","1.34"
"fevereiro 1996","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1273.8900000000000"
"fevereiro 1996","Brasil","IPCA - Variação mensal (%)","1.03"
"março 1996","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1278.3500000000000"
"março 1996","Brasil","IPCA - Variação mensal (%)","0.35"
"abril 1996","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1294.4600000000000"
"abril 1996","Brasil","IPCA - Variação mensal (%)","1.26"
"maio 1996","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1310.2500000000000"
"maio 1996","Brasil","IPCA - Variação mensal (%)","1.22"
"junho 1996","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1325.8400000000000"
"junho 1996","Brasil","IPCA - Variação mensal (%)","1.19"
"julho 1996","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1340.5600000000000"
"julho 1996","Brasil","IPCA - Variação mensal (%)","1.11"
"agosto 1996","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1346.4600000000000"
"agosto 1996","Brasil","IPCA - Variação mensal (%)","0.44"
"setembro 1996","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1348.4800000000000"
"setembro 1996","Brasil","IPCA - Variação mensal (%)","0.15"
"outubro 1996","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1352.5300000000000"
"outubro 1996","Brasil","IPCA - Variação mensal (%)","0.30"
"novembro 1996","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1356.8600000000000"
"novembro 1996","Brasil","IPCA - Variação mensal (%)","0.32"
"dezembro 1996","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1363.2400000000000"
"dezembro 1996","Brasil","IPCA - Variação mensal (%)","0.47"
"janeiro 1997","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1379.3300000000000"
"janeiro 1997","Brasil","IPCA - Variação mensal (%)","1.18"
"fevereiro 1997","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1386.2300000000000"
"fevereiro 1997","Brasil","IPCA - Variação mensal (%)","0.50"
"março 1997","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1393.3000000000000"
"março 1997","Brasil","IPCA - Variação mensal (%)","0.51"
"abril 1997","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1405.5600000000000"
"abril 1997","Brasil","IPCA - Variação mensal (%)","0.88"
"maio 1997","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1411.3200000000000"
"maio 1997","Brasil","IPCA - Variação mensal (%)","0.41"
"junho 1997","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1418.9400000000000"
"junho 1997","Brasil","IPCA - Variação mensal (%)","0.54"
"julho 1997","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1422.0600000000000"
"julho 1997","Brasil","IPCA - Variação mensal (%)","0.22"
"agosto 1997","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1421.7800000000000"
"agosto 1997","Brasil","IPCA - Variação mensal (%)","-0.02"
"setembro 1997","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1422.6300000000000"
"setembro 1997","Brasil","IPCA - Variação mensal (%)","0.06"
"outubro 1997","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1425.9000000000000"
"outubro 1997","Brasil","IPCA - Variação mensal (%)","0.23"
"novembro 1997","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1428.3200000000000"
"novembro 1997","Brasil","IPCA - Variação mensal (%)","0.17"
"dezembro 1997","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1434.4600000000000"
"dezembro 1997","Brasil","IPCA - Variação mensal (%)","0.43"
"janeiro 1998","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1444.6400000000000"
"janeiro 1998","Brasil","IPCA - Variação mensal (%)","0.71"
"fevereiro 1998","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1451.2900000000000"
"fevereiro 1998","Brasil","IPCA - Variação mensal (%)","0.46"
"março 1998","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1456.2200000000000"
"março 1998","Brasil","IPCA - Variação mensal (%)","0.34"
"abril 1998","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1459.7100000000000"
"abril 1998","Brasil","IPCA - Variação mensal (%)","0.24"
"maio 1998","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1467.0100000000000"
"maio 1998","Brasil","IPCA - Variação mensal (%)","0.50"
"junho 1998","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1467.3000000000000"
"junho 1998","Brasil","IPCA - Variação mensal (%)","0.02"
"julho 1998","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1465.5400000000000"
"julho 1998","Brasil","IPCA - Variação mensal (%)","-0.12"
"agosto 1998","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1458.0700000000000"
"agosto 1998","Brasil","IPCA - Variação mensal (%)","-0.51"
"setembro 1998","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1454.8600000000000"
"setembro 1998","Brasil","IPCA - Variação mensal (%)","-0.22"
"outubro 1998","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1455.1500000000000"
"outubro 1998","Brasil","IPCA - Variação mensal (%)","0.02"
"novembro 1998","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1453.4000000000000"
"novembro 1998","Brasil","IPCA - Variação mensal (%)","-0.12"
"dezembro 1998","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1458.2000000000000"
"dezembro 1998","Brasil","IPCA - Variação mensal (%)","0.33"
"janeiro 1999","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1468.4100000000000"
"janeiro 1999","Brasil","IPCA - Variação mensal (%)","0.70"
"fevereiro 1999","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1483.8300000000000"
"fevereiro 1999","Brasil","IPCA - Variação mensal (%)","1.05"
"março 1999","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1500.1500000000000"
"março 1999","Brasil","IPCA - Variação mensal (%)","1.10"
"abril 1999","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1508.5500000000000"
"abril 1999","Brasil","IPCA - Variação mensal (%)","0.56"
"maio 1999","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1513.0800000000000"
"maio 1999","Brasil","IPCA - Variação mensal (%)","0.30"
"junho 1999","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1515.9500000000000"
"junho 1999","Brasil","IPCA - Variação mensal (%)","0.19"
"julho 1999","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1532.4700000000000"
"julho 1999","Brasil","IPCA - Variação mensal (%)","1.09"
"agosto 1999","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1541.0500000000000"
"agosto 1999","Brasil","IPCA - Variação mensal (%)","0.56"
"setembro 1999","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1545.8300000000000"
"setembro 1999","Brasil","IPCA - Variação mensal (%)","0.31"
"outubro 1999","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1564.2300000000000"
"outubro 1999","Brasil","IPCA - Variação mensal (%)","1.19"
"novembro 1999","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1579.0900000000000"
"novembro 1999","Brasil","IPCA - Variação mensal (%)","0.95"
"dezembro 1999","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1588.5600000000000"
"dezembro 1999","Brasil","IPCA - Variação mensal (%)","0.60"
"janeiro 2000","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1598.4100000000000"
"janeiro 2000","Brasil","IPCA - Variação mensal (%)","0.62"
"fevereiro 2000","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1600.4900000000000"
"fevereiro 2000","Brasil","IPCA - Variação mensal (%)","0.13"
"março 2000","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1604.0100000000000"
"março 2000","Brasil","IPCA - Variação mensal (%)","0.22"
"abril 2000","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1610.7500000000000"
"abril 2000","Brasil","IPCA - Variação mensal (%)","0.42"
"maio 2000","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1610.9100000000000"
"maio 2000","Brasil","IPCA - Variação mensal (%)","0.01"
"junho 2000","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1614.6200000000000"
"junho 2000","Brasil","IPCA - Variação mensal (%)","0.23"
"julho 2000","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1640.6200000000000"
"julho 2000","Brasil","IPCA - Variação mensal (%)","1.61"
"agosto 2000","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1662.1100000000000"
"agosto 2000","Brasil","IPCA - Variação mensal (%)","1.31"
"setembro 2000","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1665.9300000000000"
"setembro 2000","Brasil","IPCA - Variação mensal (%)","0.23"
"outubro 2000","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1668.2600000000000"
"outubro 2000","Brasil","IPCA - Variação mensal (%)","0.14"
"novembro 2000","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1673.6000000000000"
"novembro 2000","Brasil","IPCA - Variação mensal (%)","0.32"
"dezembro 2000","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1683.4700000000000"
"dezembro 2000","Brasil","IPCA - Variação mensal (%)","0.59"
"janeiro 2001","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1693.0700000000000"
"janeiro 2001","Brasil","IPCA - Variação mensal (%)","0.57"
"fevereiro 2001","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1700.8600000000000"
"fevereiro 2001","Brasil","IPCA - Variação mensal (%)","0.46"
"março 2001","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1707.3200000000000"
"março 2001","Brasil","IPCA - Variação mensal (%)","0.38"
"abril 2001","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1717.2200000000000"
"abril 2001","Brasil","IPCA - Variação mensal (%)","0.58"
"maio 2001","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1724.2600000000000"
"maio 2001","Brasil","IPCA - Variação mensal (%)","0.41"
"junho 2001","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1733.2300000000000"
"junho 2001","Brasil","IPCA - Variação mensal (%)","0.52"
"julho 2001","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1756.2800000000000"
"julho 2001","Brasil","IPCA - Variação mensal (%)","1.33"
"agosto 2001","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1768.5700000000000"
"agosto 2001","Brasil","IPCA - Variação mensal (%)","0.70"
"setembro 2001","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1773.5200000000000"
"setembro 2001","Brasil","IPCA - Variação mensal (%)","0.28"
"outubro 2001","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1788.2400000000000"
"outubro 2001","Brasil","IPCA - Variação mensal (%)","0.83"
"novembro 2001","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1800.9400000000000"
"novembro 2001","Brasil","IPCA - Variação mensal (%)","0.71"
"dezembro 2001","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1812.6500000000000"
"dezembro 2001","Brasil","IPCA - Variação mensal (%)","0.65"
"janeiro 2002","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1822.0800000000000"
"janeiro 2002","Brasil","IPCA - Variação mensal (%)","0.52"
"fevereiro 2002","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1828.6400000000000"
"fevereiro 2002","Brasil","IPCA - Variação mensal (%)","0.36"
"março 2002","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1839.6100000000000"
"março 2002","Brasil","IPCA - Variação mensal (%)","0.60"
"abril 2002","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1854.3300000000000"
"abril 2002","Brasil","IPCA - Variação mensal (%)","0.80"
"maio 2002","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1858.2200000000000"
"maio 2002","Brasil","IPCA - Variação mensal (%)","0.21"
"junho 2002","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1866.0200000000000"
"junho 2002","Brasil","IPCA - Variação mensal (%)","0.42"
"julho 2002","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1888.2300000000000"
"julho 2002","Brasil","IPCA - Variação mensal (%)","1.19"
"agosto 2002","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1900.5000000000000"
"agosto 2002","Brasil","IPCA - Variação mensal (%)","0.65"
"setembro 2002","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1914.1800000000000"
"setembro 2002","Brasil","IPCA - Variação mensal (%)","0.72"
"outubro 2002","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1939.2600000000000"
"outubro 2002","Brasil","IPCA - Variação mensal (%)","1.31"
"novembro 2002","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1997.8300000000000"
"novembro 2002","Brasil","IPCA - Variação mensal (%)","3.02"
"dezembro 2002","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","2039.7800000000000"
"dezembro 2002","Brasil","IPCA - Variação mensal (%)","2.10"
"janeiro 2003","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","2085.6800000000000"
"janeiro 2003","Brasil","IPCA - Variação mensal (%)","2.25"
"fevereiro 2003","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","2118.4300000000000"
"fevereiro 2003","Brasil","IPCA - Variação mensal (%)","1.57"
"março 2003","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","2144.4900000000000"
"março 2003","Brasil","IPCA - Variação mensal (%)","1.23"
"abril 2003","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","2165.2900000000000"
"abril 2003","Brasil","IPCA - Variação mensal (%)","0.97"
"maio 2003","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","2178.5000000000000"
"maio 2003","Brasil","IPCA - Variação mensal (%)","0.61"
"junho 2003","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","2175.2300000000000"
"junho 2003","Brasil","IPCA - Variação mensal (%)","-0.15"
"julho 2003","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","2179.5800000000000"
"julho 2003","Brasil","IPCA - Variação mensal (%)","0.20"
"agosto 2003","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","2186.9900000000000"
"agosto 2003","Brasil","IPCA - Variação mensal (%)","0.34"
"setembro 2003","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","2204.0500000000000"
"setembro 2003","Brasil","IPCA - Variação mensal (%)","0.78"
"outubro 2003","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","2210.4400000000000"
"outubro 2003","Brasil","IPCA - Variação mensal (%)","0.29"
"novembro 2003","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","2217.9600000000000"
"novembro 2003","Brasil","IPCA - Variação mensal (%)","0.34"
"dezembro 2003","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","2229.4900000000000"
"dezembro 2003","Brasil","IPCA - Variação mensal (%)","0.52"
"janeiro 2004","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","2246.4300000000000"
"janeiro 2004","Brasil","IPCA - Variação mensal (%)","0.76"
"fevereiro 2004","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","2260.1300000000000"
"fevereiro 2004","Brasil","IPCA - Variação mensal (%)","0.61"
"março 2004","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","2270.7500000000000"
"março 2004","Brasil","IPCA - Variação mensal (%)","0.47"
"abril 2004","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","2279.1500000000000"
"abril 2004","Brasil","IPCA - Variação mensal (%)","0.37"
"maio 2004","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","2290.7700000000000"
"maio 2004","Brasil","IPCA - Variação mensal (%)","0.51"
"junho 2004","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","2307.0300000000000"
"junho 2004","Brasil","IPCA - Variação mensal (%)","0.71"
"julho 2004","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","2328.0200000000000"
"julho 2004","Brasil","IPCA - Variação mensal (%)","0.91"
"agosto 2004","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","2344.0800000000000"
"agosto 2004","Brasil","IPCA - Variação mensal (%)","0.69"
"setembro 2004","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","2351.8200000000000"
"setembro 2004","Brasil","IPCA - Variação mensal (%)","0.33"
"outubro 2004","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","2362.1700000000000"
"outubro 2004","Brasil","IPCA - Variação mensal (%)","0.44"
"novembro 2004","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","2378.4700000000000"
"novembro 2004","Brasil","IPCA - Variação mensal (%)","0.69"
"dezembro 2004","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","2398.9200000000000"
"dezembro 2004","Brasil","IPCA - Variação mensal (%)","0.86"
"janeiro 2005","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","2412.8300000000000"
"janeiro 2005","Brasil","IPCA - Variação mensal (%)","0.58"
"fevereiro 2005","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","2427.0700000000000"
"fevereiro 2005","Brasil","IPCA - Variação mensal (%)","0.59"
"março 2005","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","2441.8700000000000"
"março 2005","Brasil","IPCA - Variação mensal (%)","0.61"
"abril 2005","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","2463.1100000000000"
"abril 2005","Brasil","IPCA - Variação mensal (%)","0.87"
"maio 2005","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","2475.1800000000000"
"maio 2005","Brasil","IPCA - Variação mensal (%)","0.49"
"junho 2005","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","2474.6800000000000"
"junho 2005","Brasil","IPCA - Variação mensal (%)","-0.02"
"julho 2005","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","2480.8700000000000"
"julho 2005","Brasil","IPCA - Variação mensal (%)","0.25"
"agosto 2005","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","2485.0900000000000"
"agosto 2005","Brasil","IPCA - Variação mensal (%)","0.17"
