"Mês","","Variável",""
"dezembro 1982","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000000608117"
"dezembro 1982","Brasil","IPCA - Variação mensal (%)","7.81"
"janeiro 1983","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000000660665"
"janeiro 1983","Brasil","IPCA - Variação mensal (%)","8.64"
"fevereiro 1983","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000000712581"
"fevereiro 1983","Brasil","IPCA - Variação mensal (%)","7.86"
"março 1983","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000000764919"
"março 1983","Brasil","IPCA - Variação mensal (%)","7.34"
"abril 1983","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000000815245"
"abril 1983","Brasil","IPCA - Variação mensal (%)","6.58"
"maio 1983","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000000868097"
"maio 1983","Brasil","IPCA - Variação mensal (%)","6.48"
"junho 1983","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000000953868"
"junho 1983","Brasil","IPCA - Variação mensal (%)","9.88"
"julho 1983","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000001050003"
"julho 1983","Brasil","IPCA - Variação mensal (%)","10.08"
"agosto 1983","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000001145671"
"agosto 1983","Brasil","IPCA - Variação mensal (%)","9.11"
"setembro 1983","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000001263682"
"setembro 1983","Brasil","IPCA - Variação mensal (%)","10.30"
"outubro 1983","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000001375727"
"outubro 1983","Brasil","IPCA - Variação mensal (%)","8.87"
"novembro 1983","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000001477314"
"novembro 1983","Brasil","IPCA - Variação mensal (%)","7.38"
"dezembro 1983","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000001605502"
"dezembro 1983","Brasil","IPCA - Variação mensal (%)","8.68"
"janeiro 1984","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000001760737"
"janeiro 1984","Brasil","IPCA - Variação mensal (%)","9.67"
"fevereiro 1984","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000001928020"
"fevereiro 1984","Brasil","IPCA - Variação mensal (%)","9.50"
"março 1984","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000002100357"
"março 1984","Brasil","IPCA - Variação mensal (%)","8.94"
"abril 1984","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000002300794"
"abril 1984","Brasil","IPCA - Variação mensal (%)","9.54"
"maio 1984","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000002509021"
"maio 1984","Brasil","IPCA - Variação mensal (%)","9.05"
"junho 1984","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000002761935"
"junho 1984","Brasil","IPCA - Variação mensal (%)","10.08"
"julho 1984","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000003030524"
"julho 1984","Brasil","IPCA - Variação mensal (%)","9.72"
"agosto 1984","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000003313854"
"agosto 1984","Brasil","IPCA - Variação mensal (%)","9.35"
"setembro 1984","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000003703168"
"setembro 1984","Brasil","IPCA - Variação mensal (%)","11.75"
"outubro 1984","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000004089675"
"outubro 1984","Brasil","IPCA - Variação mensal (%)","10.44"
"novembro 1984","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000004520168"
"novembro 1984","Brasil","IPCA - Variação mensal (%)","10.53"
"dezembro 1984","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000005061559"
"dezembro 1984","Brasil","IPCA - Variação mensal (%)","11.98"
"janeiro 1985","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000005656761"
"janeiro 1985","Brasil","IPCA - Variação mensal (%)","11.76"
"fevereiro 1985","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000006271382"
"fevereiro 1985","Brasil","IPCA - Variação mensal (%)","10.87"
"março 1985","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000006908698"
"março 1985","Brasil","IPCA - Variação mensal (%)","10.16"
"abril 1985","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000007474889"
"abril 1985","Brasil","IPCA - Variação mensal (%)","8.20"
"maio 1985","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000008012770"
"maio 1985","Brasil","IPCA - Variação mensal (%)","7.20"
"junho 1985","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000008693369"
"junho 1985","Brasil","IPCA - Variação mensal (%)","8.49"
"julho 1985","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000009589916"
"julho 1985","Brasil","IPCA - Variação mensal (%)","10.31"
"agosto 1985","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000010745459"
"agosto 1985","Brasil","IPCA - Variação mensal (%)","12.05"
"setembro 1985","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000011940075"
"setembro 1985","Brasil","IPCA - Variação mensal (%)","11.12"
"outubro 1985","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000013207687"
"outubro 1985","Brasil","IPCA - Variação mensal (%)","10.62"
"novembro 1985","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000015053189"
"novembro 1985","Brasil","IPCA - Variação mensal (%)","13.97"
"dezembro 1985","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000017322163"
"dezembro 1985","Brasil","IPCA - Variação mensal (%)","15.07"
"janeiro 1986","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000019811765"
"janeiro 1986","Brasil","IPCA - Variação mensal (%)","14.37"
"fevereiro 1986","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000022331080"
"fevereiro 1986","Brasil","IPCA - Variação mensal (%)","12.72"
"março 1986","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000023396314"
"março 1986","Brasil","IPCA - Variação mensal (%)","4.77"
"abril 1986","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000023578806"
"abril 1986","Brasil","IPCA - Variação mensal (%)","0.78"
"maio 1986","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000023908694"
"maio 1986","Brasil","IPCA - Variação mensal (%)","1.40"
"junho 1986","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000024212846"
"junho 1986","Brasil","IPCA - Variação mensal (%)","1.27"
"julho 1986","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000024626960"
"julho 1986","Brasil","IPCA - Variação mensal (%)","1.71"
"agosto 1986","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000025501983"
"agosto 1986","Brasil","IPCA - Variação mensal (%)","3.55"
"setembro 1986","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000025939494"
"setembro 1986","Brasil","IPCA - Variação mensal (%)","1.72"
"outubro 1986","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000026433156"
"outubro 1986","Brasil","IPCA - Variação mensal (%)","1.90"
"novembro 1986","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000027874369"
"novembro 1986","Brasil","IPCA - Variação mensal (%)","5.45"
"dezembro 1986","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000031121777"
"dezembro 1986","Brasil","IPCA - Variação mensal (%)","11.65"
"janeiro 1987","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000035232510"
"janeiro 1987","Brasil","IPCA - Variação mensal (%)","13.21"
"fevereiro 1987","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000039684829"
"fevereiro 1987","Brasil","IPCA - Variação mensal (%)","12.64"
"março 1987","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000046181985"
"março 1987","Brasil","IPCA - Variação mensal (%)","16.37"
"abril 1987","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000055002395"
"abril 1987","Brasil","IPCA - Variação mensal (%)","19.10"
"maio 1987","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000066801157"
"maio 1987","Brasil","IPCA - Variação mensal (%)","21.45"
"junho 1987","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000079968603"
"junho 1987","Brasil","IPCA - Variação mensal (%)","19.71"
"julho 1987","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000087333762"
"julho 1987","Brasil","IPCA - Variação mensal (%)","9.21"
"agosto 1987","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000091587212"
"agosto 1987","Brasil","IPCA - Variação mensal (%)","4.87"
"setembro 1987","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000098713730"
"setembro 1987","Brasil","IPCA - Variação mensal (%)","7.78"
"outubro 1987","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000109789545"
"outubro 1987","Brasil","IPCA - Variação mensal (%)","11.22"
"novembro 1987","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000126344777"
"novembro 1987","Brasil","IPCA - Variação mensal (%)","15.08"
"dezembro 1987","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000144221901"
"dezembro 1987","Brasil","IPCA - Variação mensal (%)","14.15"
"janeiro 1988","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000171464570"
"janeiro 1988","Brasil","IPCA - Variação mensal (%)","18.89"
"fevereiro 1988","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000198384369"
"fevereiro 1988","Brasil","IPCA - Variação mensal (%)","15.70"
"março 1988","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000233301029"
"março 1988","Brasil","IPCA - Variação mensal (%)","17.60"
"abril 1988","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000278303890"
